acousticness,billboard_artist,billboard_df_index,billboard_name,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.615,janet jackson,3049.0,come back to me,0.203,332742.0,0.414,0.0,0NSSqYISjnav81CEn6EgBY,0.0158,5.0,0.142,-12.287,0.0,43.0,1989-09-19,0.0297,Rhythm Nation 1814,Janet Jackson,Come Back To Me,78.935,4.0,audio_features,spotify:track:0NSSqYISjnav81CEn6EgBY,0.065
0.15,michelle,3050.0,no more lies,0.834,225840.0,0.871,0.0,1Oz5bcZyzhiaEa3F06EiPY,0.0721,10.0,0.287,-6.972,0.0,40.0,1989,0.0821,Michel'le,Michel'le,No More Lies,110.294,4.0,audio_features,spotify:track:1Oz5bcZyzhiaEa3F06EiPY,0.835
0.0471,george michael,3051.0,praying for time,0.581,280981.0,0.622,0.0,7CgRXXie9XIxVSkpKi40ID,0.0162,10.0,0.0915,-14.878,1.0,56.0,2017-10-20,0.0354,Listen Without Prejudice / MTV Unplugged (Deluxe),George Michael,Praying for Time - Remastered,127.814,4.0,audio_features,spotify:track:7CgRXXie9XIxVSkpKi40ID,0.257
0.118,michael bolton,3052.0,how can we be lovers,0.399,235627.0,0.708,0.0,0ZUjPkZKjzRi6bgIuJovfY,0.0,0.0,0.179,-10.541,0.0,50.0,1989-06-27,0.0387,Soul Provider,Michael Bolton,How Can We Be Lovers,207.424,4.0,audio_features,spotify:track:0ZUjPkZKjzRi6bgIuJovfY,0.688
0.117,phil collins,3053.0,do you remember,0.677,276000.0,0.5,0.0,6C4BcBBnlNG0bwfZyeKSti,0.0109,5.0,0.0648,-7.839,1.0,55.0,1989-11-20,0.0248,...But Seriously (Deluxe Edition),Phil Collins,Do You Remember? - 2016 Remastered,93.051,4.0,audio_features,spotify:track:6C4BcBBnlNG0bwfZyeKSti,0.525
0.0966,after 7,3054.0,ready or not,0.733,275827.0,0.566,0.0,6AgDFWLbbAt2migXMbrhXT,0.0,8.0,0.074,-12.06,0.0,53.0,1989-08-22,0.039,After 7,After 7,Ready Or Not,141.94,4.0,audio_features,spotify:track:6AgDFWLbbAt2migXMbrhXT,0.775
0.00456,mc hammer,3055.0,u cant touch this,0.867,257360.0,0.517,0.0,1B75hgRqe7A4fwee3g3Wmu,0.000339,11.0,0.0864,-13.222,0.0,72.0,1990-02-20,0.0875,Please Hammer Don't Hurt 'Em,MC Hammer,U Can't Touch This,133.148,4.0,audio_features,spotify:track:1B75hgRqe7A4fwee3g3Wmu,0.866
0.292,phil collins,3056.0,i wish it would rain down,0.51,327747.0,0.667,0.0,4F2t297QK40XFcIHqkmLHs,0.00683,8.0,0.313,-4.715,1.0,57.0,1989-11-20,0.0294,...But Seriously (Deluxe Edition),Phil Collins,I Wish It Would Rain Down - 2016 Remastered,125.887,4.0,audio_features,spotify:track:4F2t297QK40XFcIHqkmLHs,0.356
0.143,lou gramm,3057.0,just between you and me,0.742,290760.0,0.753,0.0,1fMvhGvNGrumP5MKKDf61e,3.81e-05,0.0,0.123,-5.782,1.0,37.0,1989,0.0262,Long Hard Look,Lou Gramm,Just Between You And Me,121.519,4.0,audio_features,spotify:track:1fMvhGvNGrumP5MKKDf61e,0.878
0.184,phil collins,3058.0,something happened on the way to heaven,0.656,291587.0,0.88,0.0,4ziqqoW1o3P5EhNqK6CPb1,0.00609,5.0,0.272,-4.137,0.0,54.0,1989-11-20,0.0287,...But Seriously (Deluxe Edition),Phil Collins,Something Happened On The Way To Heaven - 2016 Remastered,114.613,4.0,audio_features,spotify:track:4ziqqoW1o3P5EhNqK6CPb1,0.88
0.131,janet jackson,3059.0,black cat,0.709,290573.0,0.912,0.0,4tYpYYoOI7WDxbCnPninwE,0.00142,4.0,0.213,-7.157,0.0,44.0,1989-09-19,0.0439,Rhythm Nation 1814,Janet Jackson,Black Cat,114.964,4.0,audio_features,spotify:track:4tYpYYoOI7WDxbCnPninwE,0.653
0.245,after 7,3060.0,cant stop,0.727,247907.0,0.811,0.0,1TYt5etb427hvOod3EKJA5,1.22e-05,0.0,0.192,-11.547,0.0,42.0,1989-08-22,0.0385,After 7,After 7,Can't Stop,97.098,4.0,audio_features,spotify:track:1TYt5etb427hvOod3EKJA5,0.808
0.0557,aerosmith,3061.0,janies got a gun,0.632,330533.0,0.822,0.0,5fMwvrqujbQjUxcNPcYrUF,0.000485,5.0,0.145,-5.737,1.0,53.0,1994-01-01,0.0281,Big Ones,Aerosmith,Janie's Got A Gun,115.113,4.0,audio_features,spotify:track:5fMwvrqujbQjUxcNPcYrUF,0.434
0.0341,digital underground,3062.0,the humpty dance,0.813,391693.0,0.693,0.0,3OcQkcvTcohs8vO8Rd3sKF,0.0,10.0,0.121,-8.0,0.0,61.0,1990-03-26,0.266,Sex Packets,Digital Underground,The Humpty Dance,103.508,4.0,audio_features,spotify:track:3OcQkcvTcohs8vO8Rd3sKF,0.618
0.113,taylor dayne,3063.0,ill be your shelter,0.712,284373.0,0.835,0.0,2kESL3CtcNIxrTNCDqesPI,0.000214,0.0,0.0881,-8.426,1.0,43.0,1999-07-27,0.0309,Arista Heritage Series: Taylor Dayne,Taylor Dayne,I'll Be Your Shelter,107.392,4.0,audio_features,spotify:track:2kESL3CtcNIxrTNCDqesPI,0.9
0.219,tom petty,3064.0,free fallin,0.63,256000.0,0.449,0.0,5tVA6TkbaAH9QMITTQRrNv,0.0,5.0,0.0622,-13.243,1.0,71.0,1989-01-01,0.0252,Full Moon Fever,Tom Petty,Free Fallin',84.378,4.0,audio_features,spotify:track:5tVA6TkbaAH9QMITTQRrNv,0.623
0.134,pebbles,3065.0,giving you the benefit,0.708,341960.0,0.812,0.0,2nNKXDFRz6cog1kolC3efq,0.000984,5.0,0.115,-10.465,0.0,29.0,1990-01-01,0.0476,Always,Pebbles,Giving You The Benefit,103.076,4.0,audio_features,spotify:track:2nNKXDFRz6cog1kolC3efq,0.929
0.155,depeche mode,3066.0,enjoy the silence,0.641,257333.0,0.812,0.0,1YwNlWLf8auhazSQUDQLFU,4.43e-05,0.0,0.078,-7.945,0.0,63.0,1990,0.0293,Enjoy The Silence (21490),Depeche Mode,Enjoy The Silence - Single Mix,112.777,4.0,audio_features,spotify:track:1YwNlWLf8auhazSQUDQLFU,0.822
