index,artist_all,artist_base,rank,song,year,artist_featured
1,patsy cline,patsy cline,2,i fall to pieces,1961,
2,the highwaymen,the highwaymen,3,michael,1961,
3,roy orbison,roy orbison,4,crying,1961,
4,del shannon,del shannon,5,runaway,1961,
5,the jive five,the jive five,6,my true story,1961,
6,chubby checker,chubby checker,7,pony time,1961,
7,the string-a-longs,the string-a-longs,8,wheels,1961,
8,dee clark,dee clark,9,raindrops,1961,
9,joe dowell,joe dowell,10,wooden heart,1961,
10,lawrence welk,lawrence welk,11,calcutta,1961,
11,bobby vee,bobby vee,12,take good care of my baby,1961,
12,roy orbison,roy orbison,13,running scared,1961,
13,the shirelles,the shirelles,14,dedicated to the one i love,1961,
14,the mar-keys,the mar-keys,15,last night,1961,
15,the shirelles,the shirelles,16,will you love me tomorrow,1961,
16,ferrante & teicher,ferrante & teicher,17,exodus,1961,
17,connie francis,connie francis,18,where the boys are,1961,
18,ray charles,ray charles,19,hit the road jack,1961,
19,sue thompson,sue thompson,20,sad movies (make me cry),1961,
20,ernie k-doe,ernie k-doe,21,mother-in-law,1961,
21,the dovells,the dovells,22,bristol stomp,1961,
22,ricky nelson,ricky nelson,23,travelin' man,1961,
23,the miracles,the miracles,24,shop around,1961,
24,brook benton,brook benton,25,the boll weevil song,1961,
25,gene mcdaniels,gene mcdaniels,26,a hundred pounds of clay,1961,
26,dick and dee dee,dick and deedee,27,the mountain's high,1961,
27,marty robbins,marty robbins,28,don't worry,1961,
28,floyd cramer,floyd cramer,29,on the rebound,1961,
29,steve lawrence,steve lawrence,30,portrait of my love,1961,
30,gary u.s. bonds,gary u.s. bonds,31,quarter to three,1961,
31,barry mann,barry mann,32,"who put the bomp (in the bomp, bomp, bomp)",1961,
32,neil sedaka,neil sedaka,33,calendar girl,1961,
33,chris kenner,chris kenner,34,i like it like that,1961,
34,jørgen ingmann,jørgen ingmann,35,apache,1961,
35,linda scott,linda scott,36,don't bet money honey,1961,
36,johnny tillotson,johnny tillotson,37,without you,1961,
37,ferlin husky,ferlin husky,38,wings of a dove,1961,
38,elvis presley,elvis presley,39,little sister,1961,
39,the marcels,the marcels,40,blue moon,1961,
40,shep and the limelites,shep and the limelites,41,daddy's home,1961,
41,troy shondell,troy shondell,42,this time,1961,
42,"clarence ""frogman"" henry","clarence ""frogman"" henry",43,(i don't know why) but i do,1961,
43,kokomo,jimmy wisner,44,asia minor,1961,
44,faron young,faron young,45,hello walls,1961,
45,dion,dion,46,runaround sue,1961,
46,arthur lyman,arthur lyman,47,yellow bird,1961,
47,timi yuro,timi yuro,48,hurt,1961,
48,ricky nelson,ricky nelson,49,hello mary lou,1961,
49,the capris,the capris,50,there's a moon out tonight,1961,
50,elvis presley,elvis presley,51,surrender,1961,
51,the paris sisters,the paris sisters,52,i love how you love me,1961,
52,lee dorsey,lee dorsey,53,ya ya,1961,
53,gary u.s. bonds,gary u.s. bonds,54,school is out,1961,
54,bob moore,bob moore,55,mexico,1961,
55,ral donner,ral donner,56,you don't know what you've got (until you lose it),1961,
56,the everly brothers,the everly brothers,57,walk right back,1961,
57,the lettermen,the lettermen,58,the way you look tonight,1961,
58,pat boone,pat boone,59,moody river,1961,
59,ray charles,ray charles,60,one mint julep,1961,
60,adam wade,adam wade,61,take good care of her,1961,
61,carla thomas,carla thomas,62,gee whiz (look at his eyes),1961,
62,ben e. king,ben e. king,63,stand by me,1961,
63,ben e. king,ben e. king,64,spanish harlem,1961,
64,ike and tina turner,ike and tina turner,65,it's gonna work out fine,1961,
65,the echoes,the echoes,66,baby blue,1961,
66,buzz clifford,buzz clifford,67,baby sittin' boogie,1961,
67,del shannon,del shannon,68,hats off to larry,1961,
68,little caesar & the romans,little caesar & the romans,69,those oldies but goodies,1961,
69,chubby checker,chubby checker,70,the fly,1961,
70,elvis presley,elvis presley,71,(marie's the name) his latest flame,1961,
71,bert kaempfert,bert kaempfert,72,wonderland by night,1961,
72,tony orlando,tony orlando,73,bless you,1961,
73,linda scott,linda scott,74,i've told every little star,1961,
74,bobby lewis,bobby lewis,75,one track mind,1961,
75,rosie and the originals,rosie and the originals,76,angel baby,1961,
76,curtis lee,curtis lee,77,pretty little angel eyes,1961,
77,brook benton,brook benton,78,think twice,1961,
78,lonnie donegan,lonnie donegan,79,does your chewing gum lose its flavour (on the bedpost overnight?),1961,
79,connie francis,connie francis,80,breakin' in a brand new broken heart,1961,
80,the shirelles,the shirelles,81,mama said,1961,
81,fats domino,fats domino,82,let the four winds blow,1961,
82,adam wade,adam wade,83,the writing on the wall,1961,
83,matt monro,matt monro,84,my kind of girl,1961,
84,paul anka,paul anka,85,"tonight my love, tonight",1961,
85,floyd cramer,floyd cramer,86,san antonio rose,1961,
86,jimmy dean,jimmy dean,87,big bad john,1961,
87,bobby rydell,bobby rydell,88,good time baby,1961,
88,bobby vee,bobby vee,89,rubber ball,1961,
89,ray peterson,ray peterson,90,missing you,1961,
90,brenda lee,brenda lee,91,dum dum,1961,
91,eddie hodges,eddie hodges,92,i'm gonna knock on your door,1961,
92,brenda lee,brenda lee,93,you can depend on me,1961,
93,chubby checker,chubby checker,94,let's twist again,1961,
94,the dave brubeck quartet,the dave brubeck quartet,95,take five,1961,
95,elvis presley,elvis presley,96,are you lonesome tonight?,1961,
96,don gibson,don gibson,97,sea of heartbreak,1961,
97,the four preps,the four preps,98,more money for you and me,1961,
98,bobby darin,bobby darin,99,you must have been a beautiful baby,1961,
99,the drifters,the drifters,100,please stay,1961,
0,acker bilk,acker bilk,1,stranger on the shore,1962,
1,ray charles,ray charles,2,i can't stop loving you,1962,
2,dee dee sharp,dee dee sharp,3,mashed potato time,1962,
3,bobby vinton,bobby vinton,4,roses are red (my love),1962,
4,david rose,david rose,5,the stripper,1962,
5,shelley fabares,shelley fabares,6,johnny angel,1962,
6,little eva,little eva,7,the loco-motion,1962,
7,the sensations,the sensations,8,let me in,1962,
8,chubby checker,chubby checker,9,the twist,1962,
9,the shirelles,the shirelles,10,soldier boy,1962,
10,bruce channel,bruce channel,11,hey! baby,1962,
11,dion,dion,12,the wanderer,1962,
12,gene chandler,gene chandler,13,duke of earl,1962,
13,freddy cannon,freddy cannon,14,palisades park,1962,
14,neil sedaka,neil sedaka,15,breaking up is hard to do,1962,
15,claude king,claude king,16,wolverton mountain,1962,
16,chubby checker  &  dee dee sharp,chubby checker,17,slow twistin',1962,
17,johnny tillotson,johnny tillotson,18,it keeps right on a-hurtin',1962,
18,mary wells,mary wells,19,the one who really loves you,1962,
19,elvis presley,elvis presley,20,good luck charm,1962,
20,kenny ball,kenny ball,21,midnight in moscow,1962,
21,tommy roe,tommy roe,22,sheila,1962,
22,sam cooke,sam cooke,23,twistin' the night away,1962,
23,the orlons,the orlons,24,the wah-watusi,1962,
24,joey dee and the starliters,joey dee and the starliters,25,peppermint twist,1962,
25,brenda lee,brenda lee,26,break it to me gently,1962,
26,the marvelettes,the marvelettes,27,playboy,1962,
27,nat king cole,nat king cole,28,ramblin' rose,1962,
28,brian hyland,brian hyland,29,sealed with a kiss,1962,
29,jay and the americans,jay and the americans,30,she cried,1962,
30,connie francis,connie francis,31,don't break the heart that loves you,1962,
31,gary u.s. bonds,gary u.s. bonds,32,dear lady twist,1962,
32,sue thompson,sue thompson,33,norman,1962,
33,ketty lester,ketty lester,34,love letters,1962,
34,claudine clark,claudine clark,35,party lights,1962,
35,the highwaymen,the highwaymen,36,cotton fields,1962,
36,bent fabric,bent fabric,37,alley cat,1962,
37,the isley brothers,the isley brothers,38,twist and shout,1962,
38,richard chamberlain,richard chamberlain,39,theme from dr kildare,1962,
39,ace cannon,ace cannon,40,tuff,1962,
40,clyde mcphatter,clyde mcphatter,41,lover please,1962,
41,barbara george,barbara george,42,i know (you don't love me no more),1962,
42,ricky nelson,ricky nelson,43,young world,1962,
43,the shirelles,the shirelles,44,baby it's you,1962,
44,pat boone,pat boone,45,speedy gonzales,1962,
45,burl ives,burl ives,46,a little bitty tear,1962,
46,the everly brothers,the everly brothers,47,crying in the rain,1962,
47,emilio pericoli,emilio pericoli,48,al di là,1962,
48,ernie maresca,ernie maresca,49,shout! shout! (knock yourself out),1962,
49,don and juan,don and juan,50,what's your name,1962,
50,the corsairs,the corsairs,51,smoky places,1962,
51,sam cooke,sam cooke,52,having a party,1962,
52,booker t. & the m.g.'s,booker t. & the m.g.'s,53,green onions,1962,
53,ray charles,ray charles,54,you don't know me,1962,
54,the four seasons,the four seasons,55,sherry,1962,
55,joanie sommers,joanie sommers,56,johnny get angry,1962,
56,elvis presley,elvis presley,57,can't help falling in love,1962,
57,joey dee and the starliters,joey dee and the starliters,58,shout,1962,
58,"dave ""baby"" cortez","dave ""baby"" cortez",59,rinky dink,1962,
59,henry mancini,henry mancini,60,moon river,1962,
60,ray stevens,ray stevens,61,ahab the arab,1962,
61,bobby darin,bobby darin,62,things,1962,
62,gene pitney,gene pitney,63,(the man who shot) liberty valance,1962,
63,the duprees,the duprees,64,you belong to me,1962,
64,roy orbison,roy orbison,65,dream baby (how long must i dream),1962,
65,joe henderson,joe henderson,66,snap your fingers,1962,
66,dion,dion,67,lovers who wander,1962,
67,chris montez,chris montez,68,let's dance,1962,
68,johnny crawford,johnny crawford,69,cindy's birthday,1962,
69,mary wells,mary wells,70,you beat me to the punch,1962,
70,barbara lynn,barbara lynn,71,you'll lose a good thing,1962,
71,the crystals,the crystals,72,uptown,1962,
72,brenda lee,brenda lee,73,everybody loves me but you,1962,
73,dickey lee,dickey lee,74,patches,1962,
74,jimmy clanton,jimmy clanton,75,venus in blue jeans,1962,
75,paul anka,paul anka,76,love me warm and tender,1962,
76,rick nelson,ricky nelson,77,teen age idol,1962,
77,patsy cline,patsy cline,78,she's got you,1962,
78,larry finnegan,larry finnegan,79,dear one,1962,
79,james darren,james darren,80,her royal majesty,1962,
80,walter brennan,walter brennan,81,old rivers,1962,
81,burl ives,burl ives,82,funny way of laughin',1962,
82,billy vaughn,billy vaughn,83,a swingin' safari,1962,
83,dick and dee dee,dick and deedee,84,tell me,1962,
84,jimmy dean,jimmy dean,85,pt-109,1962,
85,dion,dion,86,little diane,1962,
86,billy joe and the checkmates,billy joe and the checkmates,87,percolator (twist),1962,
87,gary u.s. bonds,gary u.s. bonds,88,"twist, twist, señora",1962,
88,jimmy soul,jimmy soul,89,twistin' matilda,1962,
89,dee dee sharp,dee dee sharp,90,gravy (for my mashed potatoes),1962,
90,jimmy smith,jimmy smith,91,walk on the wild side,1962,
91,king curtis,king curtis,92,soul twist,1962,
92,bobby rydell,bobby rydell,93,i'll never dance again,1962,
93,the ikettes,the ikettes,94,i'm blue (the gong-gong song),1962,
94,the kingston trio,the kingston trio,95,where have all the flowers gone?,1962,
95,eddie hodges,eddie hodges,96,"(girls, girls, girls) made to love",1962,
96,gene pitney,gene pitney,97,town without pity,1962,
97,"peter, paul and mary","peter, paul and mary",98,if i had a hammer,1962,
98,ronnie & the hi-lites,ronnie & the hi-lites,99,i wish that we were married,1962,
99,the beach boys,the beach boys,100,surfin' safari,1962,
0,the beach boys,the beach boys,1,surfin' u.s.a.,1963,
1,skeeter davis,skeeter davis,2,the end of the world,1963,
2,the cascades,the cascades,3,rhythm of the rain,1963,
3,the chiffons,the chiffons,4,he's so fine,1963,
4,bobby vinton,bobby vinton,5,blue velvet,1963,
5,paul & paula,paul & paula,6,hey paula,1963,
6,little stevie wonder,stevie wonder,7,fingertips,1963,
7,andy williams,andy williams,8,can't get used to losing you,1963,
8,the angels,the angels,9,my boyfriend's back,1963,
9,kyu sakamoto,kyu sakamoto,10,sukiyaki,1963,
10,the tymes,the tymes,11,so much in love,1963,
11,"peter, paul & mary","peter, paul & mary",12,"puff, the magic dragon",1963,
12,"peter, paul & mary","peter, paul & mary",13,blowin' in the wind,1963,
13,the surfaris,the surfaris,14,wipe out,1963,
14,al martino,al martino,15,i love you because,1963,
15,the rebels,the rebels,16,wild weekend,1963,
16,bobby darin,bobby darin,17,you're the reason i'm living,1963,
17,the four seasons,the four seasons,18,walk like a man,1963,
18,inez & charlie foxx,inez & charlie foxx,19,mockingbird,1963,
19,little peggy march,peggy march,20,i will follow him,1963,
20,the chantays,the chantays,21,pipeline,1963,
21,jan & dean,jan & dean,22,surf city,1963,
22,lesley gore,lesley gore,23,it's my party,1963,
23,eydie gormé,eydie gormé,24,blame it on the bossa nova,1963,
24,the dovells,the dovells,25,you can't sit down,1963,
